index,promptcategory,timecategory,imperative,temporalvalue,daytimevalue,subject,prompt,difficulty,prompttemplate,expectedValue,annotation_prompt_0,annotation_prompt_1,annotation_prompt_2,model,category,lifespan,anAge,time,goldenrecordImages,periodstart,periodend,goldenrecordImagePath,DemolitionDate,BuildingCoordinates,BuildingCountry,RandomBefore,RandomAfter,BuildingCoordinates.1,lon,lat,commonsCategory,isInGoogleLandmark,inception,WikipediaPagesCount,Imperative,PromptTemplate,currentState,place,suggestion,image_path,exp_label_1,exp_label_2,label_1,label_2,label_3,maj
507,Seasonality,Date,Give me,07/09/1853,,a forest,Give me a photorealistic image of a forest in europe on 07/09/1853 ,2,(imperative) a photorealistic image of (place) in Europe (temporalvalue/daytimevalue),"sunny,bright,green,warm,sunshine,greenery,warmth,blue skies,bright sunshine,sunny,bright,green,warm,sunshine,greenery,warmth,blue skies,bright sunshine",Is the following subject present in the image: 'a forest'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a photorealistic image of a forest in europe on 07/09/1853 '? Is the correct temporal knowledge applied (i.e. 07/09/1853)? Just reply with 'yes' or 'no'.,blackforest,Landscapes,,,,,,,,,,,,,,,,,,,,,,,,,train_annotations/image_blackforest_Time_507.png,1,1,1.0,0.0,0,1.0
1592,Seasonality,Date,Produce,04/23/1804,,mountains,Produce a photorealistic image of mountains in europe on 04/23/1804 ,2,(imperative) a photorealistic image of (place) in Europe (temporalvalue/daytimevalue),"blooming,lush,blossoming,green,greenery,flowers,bloom,fresh greenery,trees and plants covered in buds and blossoms,nature's renewal,blooming,lush,blossoming,green,greenery,flowers,bloom,fresh greenery,trees and plants covered in buds and blossoms,nature's renewal",Is the following subject present in the image: 'mountains'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Produce a photorealistic image of mountains in europe on 04/23/1804 '? Is the correct temporal knowledge applied (i.e. 04/23/1804)? Just reply with 'yes' or 'no'.,sdxlturbo,Landscapes,,,,,,,,,,,,,,,,,,,,,,,,,train_annotations/image_sdxlturbo_Time_1592.png,0,0,0.0,1.0,0,0.0
1005,Seasonality,Month,Generate,may,,a landscape,Generate a photorealistic image of a landscape in europe in may ,2,(imperative) a photorealistic image of (place) in Europe (temporalvalue/daytimevalue),"blooming,lush,blossoming,green,greenery,flowers,bloom,fresh greenery,trees and plants covered in buds and blossoms,nature's renewal,blooming,lush,blossoming,green,greenery,flowers,bloom,fresh greenery,trees and plants covered in buds and blossoms,nature's renewal",Is the following subject present in the image: 'a landscape'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Generate a photorealistic image of a landscape in europe in may '? Is the correct temporal knowledge applied (i.e. may)? Just reply with 'yes' or 'no'.,sdv15,Landscapes,,,,,,,,,,,,,,,,,,,,,,,,,train_annotations/image_sdv15_Time_1005.png,1,1,1.0,0.0,1,1.0
1064,Seasonality,Date,Generate,01/16/1908,,a landscape,Generate a photorealistic image of a landscape in europe on 01/16/1908 ,2,(imperative) a photorealistic image of (place) in Europe (temporalvalue/daytimevalue),"frosty,snowy,icy,snow,ice,frost,frosty and icy,frosty,snowy,icy,snow,ice,frost,frosty and icy",Is the following subject present in the image: 'a landscape'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Generate a photorealistic image of a landscape in europe on 01/16/1908 '? Is the correct temporal knowledge applied (i.e. 01/16/1908)? Just reply with 'yes' or 'no'.,sdxlturbo,Landscapes,,,,,,,,,,,,,,,,,,,,,,,,,train_annotations/image_sdxlturbo_Time_1064.png,0,0,0.0,1.0,0,0.0
749,Seasonality,Date,Give me,04/16/1712,,a city,Give me a photorealistic image of a city in europe on 04/16/1712 ,2,(imperative) a photorealistic image of (place) in Europe (temporalvalue/daytimevalue),"blooming,lush,blossoming,green,greenery,flowers,bloom,fresh greenery,trees and plants covered in buds and blossoms,nature's renewal,blooming,lush,blossoming,green,greenery,flowers,bloom,fresh greenery,trees and plants covered in buds and blossoms,nature's renewal",Is the following subject present in the image: 'a city'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a photorealistic image of a city in europe on 04/16/1712 '? Is the correct temporal knowledge applied (i.e. 04/16/1712)? Just reply with 'yes' or 'no'.,stable-diffusion-3-5,Landscapes,,,,,,,,,,,,,,,,,,,,,,,,,train_annotations/image_stable-diffusion-3-5_Time_749.png,0,0,1.0,0.0,0,0.0
285,Seasonality,Season,Create,summer,,a city,Create a photorealistic image of a city in europe in summer ,1,(imperative) a photorealistic image of (place) in Europe (temporalvalue/daytimevalue),"sunny,bright,green,warm,sunshine,greenery,warmth,blue skies,bright sunshine,sunny,bright,green,warm,sunshine,greenery,warmth,blue skies,bright sunshine",Is the following subject present in the image: 'a city'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a photorealistic image of a city in europe in summer '? Is the correct temporal knowledge applied (i.e. summer)? Just reply with 'yes' or 'no'.,sdxlturbo,Landscapes,,,,,,,,,,,,,,,,,,,,,,,,,train_annotations/image_sdxlturbo_Time_285.png,1,1,0.0,1.0,0,1.0
458,Seasonality,Month,Give me,april,,a forest,Give me a photorealistic image of a forest in europe in april ,2,(imperative) a photorealistic image of (place) in Europe (temporalvalue/daytimevalue),"blooming,lush,blossoming,green,greenery,flowers,bloom,fresh greenery,trees and plants covered in buds and blossoms,nature's renewal,blooming,lush,blossoming,green,greenery,flowers,bloom,fresh greenery,trees and plants covered in buds and blossoms,nature's renewal",Is the following subject present in the image: 'a forest'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a photorealistic image of a forest in europe in april '? Is the correct temporal knowledge applied (i.e. april)? Just reply with 'yes' or 'no'.,stable-diffusion-3-5,Landscapes,,,,,,,,,,,,,,,,,,,,,,,,,train_annotations/image_stable-diffusion-3-5_Time_458.png,1,1,1.0,1.0,1,1.0
1388,Seasonality,Date,Produce,05/29/1713,,a forest,Produce a photorealistic image of a forest in europe on 05/29/1713 ,2,(imperative) a photorealistic image of (place) in Europe (temporalvalue/daytimevalue),"blooming,lush,blossoming,green,greenery,flowers,bloom,fresh greenery,trees and plants covered in buds and blossoms,nature's renewal,blooming,lush,blossoming,green,greenery,flowers,bloom,fresh greenery,trees and plants covered in buds and blossoms,nature's renewal",Is the following subject present in the image: 'a forest'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Produce a photorealistic image of a forest in europe on 05/29/1713 '? Is the correct temporal knowledge applied (i.e. 05/29/1713)? Just reply with 'yes' or 'no'.,sdv15,Landscapes,,,,,,,,,,,,,,,,,,,,,,,,,train_annotations/image_sdv15_Time_1388.png,1,1,1.0,0.0,1,1.0
1206,Seasonality,Date,Generate,05/29/1713,,a city,Generate a photorealistic image of a city in europe on 05/29/1713 ,2,(imperative) a photorealistic image of (place) in Europe (temporalvalue/daytimevalue),"blooming,lush,blossoming,green,greenery,flowers,bloom,fresh greenery,trees and plants covered in buds and blossoms,nature's renewal,blooming,lush,blossoming,green,greenery,flowers,bloom,fresh greenery,trees and plants covered in buds and blossoms,nature's renewal",Is the following subject present in the image: 'a city'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Generate a photorealistic image of a city in europe on 05/29/1713 '? Is the correct temporal knowledge applied (i.e. 05/29/1713)? Just reply with 'yes' or 'no'.,sdxlturbo,Landscapes,,,,,,,,,,,,,,,,,,,,,,,,,train_annotations/image_sdxlturbo_Time_1206.png,0,0,0.0,1.0,0,0.0
645,Seasonality,Month,Give me,september,,mountains,Give me a photorealistic image of mountains in europe in september ,2,(imperative) a photorealistic image of (place) in Europe (temporalvalue/daytimevalue),"golden,leaves,colored leaves,orange leaves,warm-hued landscape,golden,leaves,colored leaves,orange leaves,warm-hued landscape",Is the following subject present in the image: 'mountains'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a photorealistic image of mountains in europe in september '? Is the correct temporal knowledge applied (i.e. september)? Just reply with 'yes' or 'no'.,sdxlbase,Landscapes,,,,,,,,,,,,,,,,,,,,,,,,,train_annotations/image_sdxlbase_Time_645.png,1,1,1.0,1.0,1,1.0
663,Seasonality,Date,Give me,06/10/1753,,mountains,Give me a photorealistic image of mountains in europe on 06/10/1753 ,2,(imperative) a photorealistic image of (place) in Europe (temporalvalue/daytimevalue),"sunny,bright,green,warm,sunshine,greenery,warmth,blue skies,bright sunshine,sunny,bright,green,warm,sunshine,greenery,warmth,blue skies,bright sunshine",Is the following subject present in the image: 'mountains'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a photorealistic image of mountains in europe on 06/10/1753 '? Is the correct temporal knowledge applied (i.e. 06/10/1753)? Just reply with 'yes' or 'no'.,blackforest,Landscapes,,,,,,,,,,,,,,,,,,,,,,,,,train_annotations/image_blackforest_Time_663.png,1,1,0.0,0.0,1,1.0
1164,Seasonality,Date,Generate,05/17/1970,,mountains,Generate a photorealistic image of mountains in europe on 05/17/1970 ,2,(imperative) a photorealistic image of (place) in Europe (temporalvalue/daytimevalue),"blooming,lush,blossoming,green,greenery,flowers,bloom,fresh greenery,trees and plants covered in buds and blossoms,nature's renewal,blooming,lush,blossoming,green,greenery,flowers,bloom,fresh greenery,trees and plants covered in buds and blossoms,nature's renewal",Is the following subject present in the image: 'mountains'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Generate a photorealistic image of mountains in europe on 05/17/1970 '? Is the correct temporal knowledge applied (i.e. 05/17/1970)? Just reply with 'yes' or 'no'.,sdxlbase,Landscapes,,,,,,,,,,,,,,,,,,,,,,,,,train_annotations/image_sdxlbase_Time_1164.png,1,1,1.0,1.0,0,1.0
1311,Seasonality,Date,Generate,12/02/1731,,a lake,Generate a photorealistic image of a lake in europe on 12/02/1731 ,2,(imperative) a photorealistic image of (place) in Europe (temporalvalue/daytimevalue),"frosty,snowy,icy,snow,ice,frost,frosty and icy,frosty,snowy,icy,snow,ice,frost,frosty and icy",Is the following subject present in the image: 'a lake'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Generate a photorealistic image of a lake in europe on 12/02/1731 '? Is the correct temporal knowledge applied (i.e. 12/02/1731)? Just reply with 'yes' or 'no'.,sdxlbase,Landscapes,,,,,,,,,,,,,,,,,,,,,,,,,train_annotations/image_sdxlbase_Time_1311.png,0,0,0.0,0.0,0,0.0
410,Seasonality,Date,Create,04/16/1859,,a lake,Create a photorealistic image of a lake in europe on 04/16/1859 ,2,(imperative) a photorealistic image of (place) in Europe (temporalvalue/daytimevalue),"blooming,lush,blossoming,green,greenery,flowers,bloom,fresh greenery,trees and plants covered in buds and blossoms,nature's renewal,blooming,lush,blossoming,green,greenery,flowers,bloom,fresh greenery,trees and plants covered in buds and blossoms,nature's renewal",Is the following subject present in the image: 'a lake'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a photorealistic image of a lake in europe on 04/16/1859 '? Is the correct temporal knowledge applied (i.e. 04/16/1859)? Just reply with 'yes' or 'no'.,sdv15,Landscapes,,,,,,,,,,,,,,,,,,,,,,,,,train_annotations/image_sdv15_Time_410.png,1,1,1.0,0.0,1,1.0
1767,Seasonality,Date,Produce,12/10/1760,,a lake,Produce a photorealistic image of a lake in europe on 12/10/1760 ,2,(imperative) a photorealistic image of (place) in Europe (temporalvalue/daytimevalue),"frosty,snowy,icy,snow,ice,frost,frosty and icy,frosty,snowy,icy,snow,ice,frost,frosty and icy",Is the following subject present in the image: 'a lake'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Produce a photorealistic image of a lake in europe on 12/10/1760 '? Is the correct temporal knowledge applied (i.e. 12/10/1760)? Just reply with 'yes' or 'no'.,sdxlbase,Landscapes,,,,,,,,,,,,,,,,,,,,,,,,,train_annotations/image_sdxlbase_Time_1767.png,0,0,1.0,1.0,0,0.0
1077,Seasonality,Date,Generate,07/02/1963,,a landscape,Generate a photorealistic image of a landscape in europe on 07/02/1963 ,2,(imperative) a photorealistic image of (place) in Europe (temporalvalue/daytimevalue),"sunny,bright,green,warm,sunshine,greenery,warmth,blue skies,bright sunshine,sunny,bright,green,warm,sunshine,greenery,warmth,blue skies,bright sunshine",Is the following subject present in the image: 'a landscape'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Generate a photorealistic image of a landscape in europe on 07/02/1963 '? Is the correct temporal knowledge applied (i.e. 07/02/1963)? Just reply with 'yes' or 'no'.,blackforest,Landscapes,,,,,,,,,,,,,,,,,,,,,,,,,train_annotations/image_blackforest_Time_1077.png,1,1,1.0,1.0,1,1.0
