model,category,index,subject,lifespan,anAge,prompttemplate,promptcategory,imperative,prompt,difficulty,Landscapes,goldenrecordImages,expectedValue,annotation_prompt_0,annotation_prompt_1,annotation_prompt_2,periodstart,periodend,goldenrecordImagePath,DemolitionDate,BuildingCoordinates,BuildingCountry,RandomBefore,RandomAfter,BuildingCoordinates.1,lon,lat,commonsCategory,isInGoogleLandmark,inception,WikipediaPagesCount,Imperative,PromptTemplate,currentState,place,suggestion,timecategory,temporalvalue,daytimevalue,image_urls,vlm_prompt,model_response_vlm_prompt,model_name
sdxlturbo,Animals,1576,Java Mouse-deer,12.0,14.0,(imperative) a photorealistic image of (name) that is 1 month old,youth,Give me,Give me a photorealistic image of a Java Mouse-deer that is one month old.,1,1 month,"http://commons.wikimedia.org/wiki/Special:FilePath/Lesser.malay.mouse.deer.arp.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Tragulus%20javanicus%20jerusalem%20zoo.jpg","tiny,soft,infant,juvenile,suckling,offspring,baby,small,bright-eyed,smooth,bright eyes,wide and open eyes,cuddly and endearing presence",Is the following subject present in the image: 'Java Mouse-deer'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a photorealistic image of a Java Mouse-deer that is one month old.'? Is the correct temporal knowledge applied (i.e. one month old)? Just reply with 'yes' or 'no'.,,,,,,,,,,,,,,,,,,,,,,,,sdxlturbo/Animals/image_1576.png,"Now, proceed with evaluating the image based on the prompt:
 a photorealistic image of a Java Mouse-deer that is one month old.","ANALYSIS: Temporal knowledge not effectively represented; the image does not accurately reflect the requested age characteristics of a one-month-old Java Mouse-deer and lacks a photorealistic quality as specified.
RATING: Extremely Poor",gpt-4o-mini-2024-07-18
stable-diffusion-3-5,Animals,463,Blue Duiker,12.0,15.9,(imperative) a photorealistic image of (name) that is (0.5*lifespan) years old,realistic age,Produce,Produce a photorealistic image of a Blue Duiker that is 8.0 years old.,1,0.5*lifespan,http://commons.wikimedia.org/wiki/Special:FilePath/Blauducker.jpg,"mature,vigorous,strong,healthy,adult,muscular,toned,fit,agile,vibrant,sturdy,strong and healthy,muscular and toned body,vitality and good health,vibrant and sturdy appearance,prime of their life",Is the following subject present in the image: 'Blue Duiker'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Produce a photorealistic image of a Blue Duiker that is 8.0 years old.'? Is the correct temporal knowledge applied (i.e. 80 years old)? Just reply with 'yes' or 'no'.,,,,,,,,,,,,,,,,,,,,,,,,stable-diffusion-3-5/Animals/image_463.png,"Now, proceed with evaluating the image based on the prompt:
 a photorealistic image of a Blue Duiker that is 8.0 years old.","ANALYSIS: Artistic interpretation not aligned with photorealism
 RATING: Poor",gpt-4o-mini-2024-07-18
sdxlturbo,Animals,1929,Mountain Zebra,25.0,33.2,(imperative) a photorealistic image of (name) that is (lifespan*0.8) years old,unrealistic age,Give me,Give me a photorealistic image of a Mountain Zebra that is 26 years old.,1,lifespan*0.8,"http://commons.wikimedia.org/wiki/Special:FilePath/Equus%20zebra%20-%20Disney%27s%20Animal%20Kingdom%20Lodge%2C%20Orlando%2C%20Florida%2C%20USA%20-%2020100119.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/HartmannsZebra.jpg","elderly,aged,grey,wrinkled,signs of aging,graying fur,thinning fur,weathered appearance,wrinkled skin",Is the following subject present in the image: 'Mountain Zebra'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a photorealistic image of a Mountain Zebra that is 26 years old.'? Is the correct temporal knowledge applied (i.e. 26 years old)? Just reply with 'yes' or 'no'.,,,,,,,,,,,,,,,,,,,,,,,,sdxlturbo/Animals/image_1929.png,"Now, proceed with evaluating the image based on the prompt:
 a photorealistic image of a Mountain Zebra that is 26 years old.","ANALYSIS: Temporal indicators and aging signs not accurately represented
RATING: Poor",gpt-4o-mini-2024-07-18
sdxlbase,Animals,841,Dhole,13.0,16.1,(imperative) a photorealistic image of (name) that is (lifespan*0.8) years old,unrealistic age,Give me,Give me a photorealistic image of a Dhole that is 13 years old.,1,lifespan*0.8,"http://commons.wikimedia.org/wiki/Special:FilePath/Dole%2C%20Khumbu%2C%20Nepal.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Dhole%20%28Asiatic%20wild%20dog%29%20cropped.jpg","elderly,aged,grey,wrinkled,signs of aging,graying fur,thinning fur,weathered appearance,wrinkled skin",Is the following subject present in the image: 'Dhole'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a photorealistic image of a Dhole that is 13 years old.'? Is the correct temporal knowledge applied (i.e. 13 years old)? Just reply with 'yes' or 'no'.,,,,,,,,,,,,,,,,,,,,,,,,sdxlbase/Animals/image_841.png,"Now, proceed with evaluating the image based on the prompt:
 a photorealistic image of a Dhole that is 13 years old.","ANALYSIS: Temporal Knowledge not applied
 RATING: Poor",gpt-4o-mini-2024-07-18
sdxlbase,Animals,1713,Greater Kudu,23.0,23.5,(imperative) a photorealistic image of (name) that is (lifespan*0.8) years old,unrealistic age,Create,Create a photorealistic image of a Greater Kudu that is 19 years old.,1,lifespan*0.8,"http://commons.wikimedia.org/wiki/Special:FilePath/Tragelaphus%20strepsiceros.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Kudu%20in%20Unaizah.JPG","elderly,aged,grey,wrinkled,signs of aging,graying fur,thinning fur,weathered appearance,wrinkled skin",Is the following subject present in the image: 'Greater Kudu'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a photorealistic image of a Greater Kudu that is 19 years old.'? Is the correct temporal knowledge applied (i.e. 19 years old)? Just reply with 'yes' or 'no'.,,,,,,,,,,,,,,,,,,,,,,,,sdxlbase/Animals/image_1713.png,"Now, proceed with evaluating the image based on the prompt:
 a photorealistic image of a Greater Kudu that is 19 years old.","ANALYSIS: Temporal Knowledge not applied
 RATING: Poor",gpt-4o-mini-2024-07-18
sdxlturbo,Animals,1190,Galapagos Fur Seal,22.0,,(imperative) a photorealistic image of (name) that is (2*lifespan) years old,unrealistic age,Generate,Generate a photorealistic image of a Galapagos Fur Seal that is 44 years old.,2,lifespan*2,http://commons.wikimedia.org/wiki/Special:FilePath/Galapagos%20Fur%20Seal%2C%20Santiago%20Island.jpg,"lifeless,deceased,dead,late,passed,perished,death,passing,decease,mortality",Is the following subject present in the image: 'Galapagos Fur Seal'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Generate a photorealistic image of a Galapagos Fur Seal that is 44 years old.'? Is the correct temporal knowledge applied (i.e. 44 years old)? Just reply with 'yes' or 'no'.,,,,,,,,,,,,,,,,,,,,,,,,sdxlturbo/Animals/image_1190.png,"Now, proceed with evaluating the image based on the prompt:
 a photorealistic image of a Galapagos Fur Seal that is 44 years old.","ANALYSIS: Temporal Knowledge not applied
 RATING: Poor",gpt-4o-mini-2024-07-18
sdxlbase,Animals,1207,Galapagos Sea Lion,20.0,,(imperative) a photorealistic image of (name) that is (0.5*lifespan) years old,realistic age,Generate,Generate a photorealistic image of a Galapagos Sea Lion that is 10.0 years old.,1,0.5*lifespan,"http://commons.wikimedia.org/wiki/Special:FilePath/Gal%C3%A1pagos%20sea%20lion%20San%20Crist%C3%B3bal%20Gal%C3%A1pagos%20Ecuador%20DSC00189%20ad.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/Galapagos%2C%20sea-lion%2C%20female%20%28by%20Casey%20Klebba%29.jpg","mature,vigorous,strong,healthy,adult,muscular,toned,fit,agile,vibrant,sturdy,strong and healthy,muscular and toned body,vitality and good health,vibrant and sturdy appearance,prime of their life",Is the following subject present in the image: 'Galapagos Sea Lion'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Generate a photorealistic image of a Galapagos Sea Lion that is 10.0 years old.'? Is the correct temporal knowledge applied (i.e. 100 years old)? Just reply with 'yes' or 'no'.,,,,,,,,,,,,,,,,,,,,,,,,sdxlbase/Animals/image_1207.png,"Now, proceed with evaluating the image based on the prompt:
 a photorealistic image of a Galapagos Sea Lion that is 10.0 years old.","ANALYSIS: Temporal Knowledge not applied
 RATING: Poor",gpt-4o-mini-2024-07-18
stable-diffusion-3-5,Animals,2550,Unau (Two-toed Sloth),20.0,36.8,(imperative) a photorealistic image of (name) that is (2*lifespan) years old,unrealistic age,Generate,Generate a photorealistic image of an Unau (Two-toed Sloth) that is 74 years old.,2,lifespan*2,"http://commons.wikimedia.org/wiki/Special:FilePath/Choloepus%20hoffmanni.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Choloepus%20didactylus%202%20-%20Buffalo%20Zoo.jpg","lifeless,deceased,dead,late,passed,perished,death,passing,decease,mortality",Is the following subject present in the image: 'Unau (Two-toed Sloth)'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Generate a photorealistic image of an Unau (Two-toed Sloth) that is 74 years old.'? Is the correct temporal knowledge applied (i.e. 74 years old)? Just reply with 'yes' or 'no'.,,,,,,,,,,,,,,,,,,,,,,,,stable-diffusion-3-5/Animals/image_2550.png,"Now, proceed with evaluating the image based on the prompt:
 a photorealistic image of an Unau (Two-toed Sloth) that is 74 years old.","ANALYSIS: Temporal knowledge not fully applied; signs of aging in the sloth are not evident or accurately represented.
RATING: Poor",gpt-4o-mini-2024-07-18
blackforest,Animals,879,Domestic Cat,15.0,30.0,(imperative) a photorealistic image of (name) that is (0.5*lifespan) years old,realistic age,Produce,Produce a photorealistic image of a Domestic Cat that is 15.0 years old.,1,0.5*lifespan,http://commons.wikimedia.org/wiki/Special:FilePath/Abessinierkatze%20Tilia%2004.jpg,"mature,vigorous,strong,healthy,adult,muscular,toned,fit,agile,vibrant,sturdy,strong and healthy,muscular and toned body,vitality and good health,vibrant and sturdy appearance,prime of their life",Is the following subject present in the image: 'Domestic Cat'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Produce a photorealistic image of a Domestic Cat that is 15.0 years old.'? Is the correct temporal knowledge applied (i.e. 150 years old)? Just reply with 'yes' or 'no'.,,,,,,,,,,,,,,,,,,,,,,,,blackforest/Animals/image_879.png,"Now, proceed with evaluating the image based on the prompt:
 a photorealistic image of a Domestic Cat that is 15.0 years old.","ANALYSIS: Temporal Knowledge not applied
 RATING: Poor",gpt-4o-mini-2024-07-18
blackforest,Animals,457,Blue Duiker,12.0,15.9,(imperative) a photorealistic image of (name) that is (lifespan*0.8) years old,unrealistic age,Give me,Give me a photorealistic image of a Blue Duiker that is 13 years old.,1,lifespan*0.8,http://commons.wikimedia.org/wiki/Special:FilePath/Blauducker.jpg,"elderly,aged,grey,wrinkled,signs of aging,graying fur,thinning fur,weathered appearance,wrinkled skin",Is the following subject present in the image: 'Blue Duiker'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a photorealistic image of a Blue Duiker that is 13 years old.'? Is the correct temporal knowledge applied (i.e. 13 years old)? Just reply with 'yes' or 'no'.,,,,,,,,,,,,,,,,,,,,,,,,blackforest/Animals/image_457.png,"Now, proceed with evaluating the image based on the prompt:
 a photorealistic image of a Blue Duiker that is 13 years old.","ANALYSIS: Temporal Knowledge not applied
 RATING: Poor",gpt-4o-mini-2024-07-18
