model,category,index,subject,prompttemplate,promptcategory,difficulty,goldenrecordImages,expectedValue,annotation_prompt_0,annotation_prompt_1,annotation_prompt_2,extract_caption,questions,image,answers,quest1,quest2,quest3,quest4,quest5,quest6,quest7,quest8,quest9,quest10,quest11,quest12
sdxlturbo,Animals,1576,Java Mouse-deer,(imperative) a photorealistic image of (name) that is 1 month old,youth,1,"http://commons.wikimedia.org/wiki/Special:FilePath/Lesser.malay.mouse.deer.arp.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Tragulus%20javanicus%20jerusalem%20zoo.jpg","tiny,soft,infant,juvenile,suckling,offspring,baby,small,bright-eyed,smooth,bright eyes,wide and open eyes,cuddly and endearing presence",Is the following subject present in the image: 'Java Mouse-deer'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a photorealistic image of a Java Mouse-deer that is one month old.'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Give me a photorealistic image of a Java Mouse-deer that is one month old.,"['What type of animal is the main subject of the image?', 'What is the main subject of the image?    A) Deer    B) Mouse    C) Java Mouse deer    D) Rabbit', 'How old is the Java Mouse deer in the image?', 'What is the age of the Java Mouse deer depicted?    A) Newborn    B) One month old    C) Six months old    D) One year old', 'What style or quality is the image of the Java Mouse deer?', 'How would you describe the style of the image?    A) Cartoonish    B) Abstract    C) Photorealistic    D) Watercolor']",generatedImages/sdxlturbo/Animals/image_1576.png,"['Java Mouse deer', 'C) Java Mouse deer', 'One month old', 'B) One month old', 'Photorealistic', 'C) Photorealistic']",What type of animal is the main subject of the image?,What is the main subject of the image?    A) Deer    B) Mouse    C) Java Mouse deer    D) Rabbit,How old is the Java Mouse deer in the image?,What is the age of the Java Mouse deer depicted?    A) Newborn    B) One month old    C) Six months old    D) One year old,What style or quality is the image of the Java Mouse deer?,How would you describe the style of the image?    A) Cartoonish    B) Abstract    C) Photorealistic    D) Watercolor,,,,,,
sdxlturbo,Animals,324,Beaver,(imperative) a photorealistic image of (name) that is 1 month old,youth,1,"http://commons.wikimedia.org/wiki/Special:FilePath/American%20Beaver.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/00%201197%20Durch%20Biber%20gef%C3%A4llter%20Baum.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/B%C3%A4ver%20n%C3%A4rbild.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Genuine%20beaver%20hat%20c.1850.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Beaver%20skin.jpg","tiny,soft,infant,juvenile,suckling,offspring,baby,small,bright-eyed,smooth,bright eyes,wide and open eyes,cuddly and endearing presence",Is the following subject present in the image: 'Beaver'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Generate a photorealistic image of a Beaver that is one month old.'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Generate a photorealistic image of a Beaver that is one month old.,"['What is the main subject of the image?', 'What animal is the main subject of the image?    **A)** Dog    **B)** Beaver    **C)** Cat    **D)** Bird', 'How old is the beaver in the image?', 'What is the age of the beaver depicted in the image?    **A)** One year old    **B)** One month old    **C)** Six months old    **D)** Three years old', 'What style is the image generated in?', 'How would you describe the style of the image?    **A)** Cartoonish    **B)** Abstract    **C)** Photorealistic    **D)** Impressionist']",generatedImages/sdxlturbo/Animals/image_324.png,"['A beaver.', 'B) Beaver', 'One month old.', 'B) One month old', 'Photorealistic.', 'C) Photorealistic']",What is the main subject of the image?,What animal is the main subject of the image?    **A)** Dog    **B)** Beaver    **C)** Cat    **D)** Bird,How old is the beaver in the image?,What is the age of the beaver depicted in the image?    **A)** One year old    **B)** One month old    **C)** Six months old    **D)** Three years old,What style is the image generated in?,How would you describe the style of the image?    **A)** Cartoonish    **B)** Abstract    **C)** Photorealistic    **D)** Impressionist,,,,,,
blackforest,Animals,2123,Patas Monkey,(imperative) a photorealistic image of (name) that is (0.5*lifespan) years old,realistic age,1,http://commons.wikimedia.org/wiki/Special:FilePath/Patas%20Monkey%20Jr.jpg,"mature,vigorous,strong,healthy,adult,muscular,toned,fit,agile,vibrant,sturdy,strong and healthy,muscular and toned body,vitality and good health,vibrant and sturdy appearance,prime of their life",Is the following subject present in the image: 'Patas Monkey'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a photorealistic image of a Patas Monkey that is 15.0 years old.'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Give me a photorealistic image of a Patas Monkey that is 15.0 years old.,[],generatedImages/blackforest/Animals/image_2123.png,[],,,,,,,,,,,,
blackforest,Animals,2514,Uakari,(imperative) a photorealistic image of (name) that is (2*lifespan) years old,unrealistic age,2,"http://commons.wikimedia.org/wiki/Special:FilePath/Male%20uakari.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Uakari%20male.jpg","lifeless,deceased,dead,late,passed,perished,death,passing,decease,mortality",Is the following subject present in the image: 'Uakari'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a photorealistic image of an Uakari that is 72 years old.'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Create a photorealistic image of an Uakari that is 72 years old.,"['What is the main subject of the image?', 'What type of creature is the main subject of the image?    A) Human    B) Animal    C) Food    D) Object', 'What is the specific type of animal in the image?    A) Monkey    B) Uakari    C) Gorilla    D) Chimpanzee', 'How old is the Uakari in the image?', 'What is the age of the Uakari depicted in the image?    A) 50 years old    B) 72 years old    C) 100 years old    D) 25 years old', 'Is the Uakari in the image older than 70 years?']",generatedImages/blackforest/Animals/image_2514.png,"['Uakari', 'B) Animal', 'B) Uakari', '72 years old', 'B) 72 years old', 'True']",What is the main subject of the image?,What type of creature is the main subject of the image?    A) Human    B) Animal    C) Food    D) Object,What is the specific type of animal in the image?    A) Monkey    B) Uakari    C) Gorilla    D) Chimpanzee,How old is the Uakari in the image?,What is the age of the Uakari depicted in the image?    A) 50 years old    B) 72 years old    C) 100 years old    D) 25 years old,Is the Uakari in the image older than 70 years?,,,,,,
sdv15,Animals,2175,Polar Bear,(imperative) a photorealistic image of (name) that is (0.5*lifespan) years old,realistic age,1,"http://commons.wikimedia.org/wiki/Special:FilePath/Polar%20Bear%20-%20Alaska%20%28cropped%29.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Coat%20of%20arms%20of%20Greenland.svg","mature,vigorous,strong,healthy,adult,muscular,toned,fit,agile,vibrant,sturdy,strong and healthy,muscular and toned body,vitality and good health,vibrant and sturdy appearance,prime of their life",Is the following subject present in the image: 'Polar Bear'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Produce a photorealistic image of a Polar Bear that is 22.0 years old.'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Produce a photorealistic image of a Polar Bear that is 22.0 years old.,"['What type of animal is the main subject of the image?', 'What animal is depicted in the image?    **A)** Lion    **B)** Polar Bear    **C)** Elephant    **D)** Giraffe', 'How old is the Polar Bear in the image?', 'What is the age of the Polar Bear?    **A)** 10 years old    **B)** 15 years old    **C)** 22.0 years old    **D)** 30 years old', 'What style is the image of the Polar Bear?', 'How would you describe the style of the image?    **A)** Cartoonish    **B)** Abstract    **C)** Photorealistic    **D)** Impressionist', 'What is being described?', 'What is the context or medium of the Polar Bear description?    **A)** A story    **B)** A movie    **C)** An image    **D)** A sculpture']",generatedImages/sdv15/Animals/image_2175.png,"['Polar Bear', 'B) Polar Bear', '2', 'C) 2', 'Photorealistic', 'C) Photorealistic', 'An image', 'C) An image']",What type of animal is the main subject of the image?,What animal is depicted in the image?    **A)** Lion    **B)** Polar Bear    **C)** Elephant    **D)** Giraffe,How old is the Polar Bear in the image?,What is the age of the Polar Bear?    **A)** 10 years old    **B)** 15 years old    **C)** 22.0 years old    **D)** 30 years old,What style is the image of the Polar Bear?,How would you describe the style of the image?    **A)** Cartoonish    **B)** Abstract    **C)** Photorealistic    **D)** Impressionist,What is being described?,What is the context or medium of the Polar Bear description?    **A)** A story    **B)** A movie    **C)** An image    **D)** A sculpture,,,,
stable-diffusion-3-5,Animals,463,Blue Duiker,(imperative) a photorealistic image of (name) that is (0.5*lifespan) years old,realistic age,1,http://commons.wikimedia.org/wiki/Special:FilePath/Blauducker.jpg,"mature,vigorous,strong,healthy,adult,muscular,toned,fit,agile,vibrant,sturdy,strong and healthy,muscular and toned body,vitality and good health,vibrant and sturdy appearance,prime of their life",Is the following subject present in the image: 'Blue Duiker'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Produce a photorealistic image of a Blue Duiker that is 8.0 years old.'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Produce a photorealistic image of a Blue Duiker that is 8.0 years old.,"['What type of animal is the main subject of the image?', 'What is the main subject of the image?    A) Elephant    B) Blue Duiker    C) Lion    D) Giraffe', 'How old is the Blue Duiker in the image?', 'What is the age of the Blue Duiker?    A) 5.0 years old    B) 8.0 years old    C) 10.0 years old    D) 12.0 years old', 'What style or quality is the image supposed to depict?', 'What is the intended style of the image?    A) Cartoonish    B) Abstract    C) Photorealistic    D) Impressionist']",generatedImages/stable-diffusion-3-5/Animals/image_463.png,"['Blue Duiker', 'B) Blue Duiker', '', 'B)', 'Photorealistic', 'C) Photorealistic']",What type of animal is the main subject of the image?,What is the main subject of the image?    A) Elephant    B) Blue Duiker    C) Lion    D) Giraffe,How old is the Blue Duiker in the image?,What is the age of the Blue Duiker?    A) 5.0 years old    B) 8.0 years old    C) 10.0 years old    D) 12.0 years old,What style or quality is the image supposed to depict?,What is the intended style of the image?    A) Cartoonish    B) Abstract    C) Photorealistic    D) Impressionist,,,,,,
sdxlturbo,Animals,1344,Guanaco,(imperative) a photorealistic image of (name) that is 1 month old,youth,1,"http://commons.wikimedia.org/wiki/Special:FilePath/Shoes%2C%20guanaco%20skin%2C%20Selknam%20people%20%28Ona%29%20-%20South%20American%20objects%20in%20the%20American%20Museum%20of%20Natural%20History%20-%20DSC06055%20%28crop%29.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/.00%202647%20Guanako%20%28Lama%20guanicoe%29%20-%20Chile.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Guanaco%20Patagonico.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Lama%20guanicoe%202005-02-13.jpeg","tiny,soft,infant,juvenile,suckling,offspring,baby,small,bright-eyed,smooth,bright eyes,wide and open eyes,cuddly and endearing presence",Is the following subject present in the image: 'Guanaco'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a photorealistic image of a Guanaco that is one month old.'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Create a photorealistic image of a Guanaco that is one month old.,[],generatedImages/sdxlturbo/Animals/image_1344.png,[],,,,,,,,,,,,
blackforest,Animals,1114,Ferret,(imperative) a photorealistic image of (name) that is (2*lifespan) years old,unrealistic age,2,"http://commons.wikimedia.org/wiki/Special:FilePath/Ferret%202008.png,http://commons.wikimedia.org/wiki/Special:FilePath/Furet-position-defecation.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Mustela%20putorius%20furo.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/202305%20Mustela%20putorius%20furo.svg","lifeless,deceased,dead,late,passed,perished,death,passing,decease,mortality",Is the following subject present in the image: 'Ferret'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a photorealistic image of a Ferret that is 38 years old.'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Give me a photorealistic image of a Ferret that is 38 years old.,[],generatedImages/blackforest/Animals/image_1114.png,[],,,,,,,,,,,,
sdxlbase,Animals,557,Brown Bear,(imperative) a photorealistic image of (name) that is (lifespan*0.8) years old,unrealistic age,1,"http://commons.wikimedia.org/wiki/Special:FilePath/Brown%20bear.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Brown%20bear%20%28Ursus%20arctos%29%2C%20Viiksimo%2C%20Kainuu%20region%2C%20Finland%20%2829058988558%29.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/202309%20Ezo%20brown%20bear.svg","elderly,aged,grey,wrinkled,signs of aging,graying fur,thinning fur,weathered appearance,wrinkled skin",Is the following subject present in the image: 'Brown Bear'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Produce a photorealistic image of a Brown Bear that is 32 years old.'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Produce a photorealistic image of a Brown Bear that is 32 years old.,[],generatedImages/sdxlbase/Animals/image_557.png,[],,,,,,,,,,,,
sdv15,Animals,196,Asiatic Elephant,(imperative) a photorealistic image of (name) that is 1 month old,youth,1,"http://commons.wikimedia.org/wiki/Special:FilePath/Asian%20elephant%20-%20melbourne%20zoo.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Elephas%20maximus%20%28Bandipur%29.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Female%20elephas%20maximus%20at%20hamburg.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/ZOO%20Praha%2C%20Elephas%20maximus%2C%2008.jpg","tiny,soft,infant,juvenile,suckling,offspring,baby,small,bright-eyed,smooth,bright eyes,wide and open eyes,cuddly and endearing presence",Is the following subject present in the image: 'Asiatic Elephant'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Generate a photorealistic image of an Asiatic Elephant that is one month old.'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Generate a photorealistic image of an Asiatic Elephant that is one month old.,[],generatedImages/sdv15/Animals/image_196.png,[],,,,,,,,,,,,
